Locus_ID,Description,GO
Os04g0662900 ,"RNA polymerase III transcriptional repressor, MAF1 domain containing protein. ","Biological Process: negative regulation of transcription from RNA polymerase III promoter (GO:0016480), Cellular Component: nucleus (GO:0005634)"
Os04g0663200 ,"Zinc finger, CCCH-type domain containing protein., Similar to OSIGBa0099L20.3 protein. ","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)"
Os04g0663300,Similar to PHD finger-like domain protein 5A (Splicing factor 3B associated 14 kDa protein) (SF3b14b).,
Os04g0663500,Similar to OSIGBa0099L20.5 protein.,
Os04g0663700,Similar to OSIGBa0099L20.7 protein.,
Os04g0665000,CHCH domain containing protein.,
Os04g0665400 ,Similar to H1005F08.7 protein. ,"Biological Process: GTP catabolic process (GO:0006184), Biological Process: microtubule-based process (GO:0007017), Biological Process: protein polymerization (GO:0051258), Cellular Component: cytoplasm (GO:0005737), Cellular Component: microtubule (GO:0005874), Cellular Component: protein complex (GO:0043234), Molecular Function: GTPase activity (GO:0003924), Molecular Function: GTP binding (GO:0005525), "
Os04g0665500,Similar to H1005F08.9 protein.,Molecular Function: protein binding (GO:0005515)
Os04g0665600,"HTH_MYB-like transcription factor, Positive regulation of leaf inclination",Molecular Function: DNA binding (GO:0003677)
Os04g0666900 ,Similar to H1005F08.22 protein. ,"Biological Process: microtubule-based movement (GO:0007018), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: cytoskeleton (GO:0005856), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: catalytic activity (GO:0003824), Molecular Function: binding (GO:0005488), Molecular Function: ATP binding (GO:0005524), Molecular Function: oxidoreductase activity (GO:0016491), Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)"
Os04g0667100 ,Hypothetical protein. ,
Os04g0667400,2OG-Fe(II) oxygenase domain containing protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)"
Os04g0667700,Similar to Actin-related protein 8A.,Molecular Function: protein binding (GO:0005515)
Os04g0667800 ,"Ubiquitin-conjugating enzyme (EC 6.3.2.19) (Ubiquitin carrier protein)., Similar to Ubiquitin carrier protein. ",Molecular Function: acid-amino acid ligase activity (GO:0016881)
Os04g0668700 ,"Phosphatidylinositol 3- and 4-kinase, catalytic domain containing protein., Similar to phosphatidylinositol 3- and 4-kinase family protein. ","Molecular Function: phosphotransferase activity, alcohol group as acceptor (GO:0016773)"
Os04g0668800,Putative thiol-disulphide oxidoreductase DCC family protein.,
Os04g0668900,"Protein similar to plastid terminal oxidase, Carotenoid and strigolactone synthesis","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: alternative oxidase activity (GO:0009916)"
Os04g0669100,Conserved hypothetical protein.,
Os04g0669475,Conserved hypothetical protein.,
Os04g0669600,Phospholipase/carboxylesterase domain containing protein.,Molecular Function: hydrolase activity (GO:0016787)
Os04g0669800,Methylthioribose kinase (EC 2.7.1.100).,"Biological Process: methionine biosynthetic process (GO:0009086), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Molecular Function: S-methyl-5-thioribose kinase activity (GO:0046522)"
Os04g0669900,Similar to H0818H01.11 protein.,"Biological Process: methionine biosynthetic process (GO:0009086), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Molecular Function: S-methyl-5-thioribose kinase activity (GO:0046522)"
Os04g0670000,Reticulon family protein.,Cellular Component: endoplasmic reticulum (GO:0005783)
Os04g0670200 ,"Similar to Oryzain beta chain precursor (EC 3.4.22.-)., Granulin domain containing protein. ","Biological Process: proteolysis (GO:0006508), Molecular Function: cysteine-type endopeptidase activity (GO:0004197), Molecular Function: cysteine-type peptidase activity (GO:0008234)"
Os04g0670600 ,Similar to H0624F09.5 protein. ,Cellular Component: membrane (GO:0016020)
Os04g0670800 ,UBX domain containing protein. ,Molecular Function: protein binding (GO:0005515)
Os04g0671100,Similar to H0624F09.8 protein.,"Biological Process: nucleobase-containing compound metabolic process (GO:0006139), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleobase-containing compound kinase activity (GO:0019205)"
Os04g0671200 ,"Polyamine oxidase, Seed germination, Similar to H0624F09.9 protein. ","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)"
Os04g0671700,ThiJ/PfpI domain containing protein.,"Molecular Function: hydrolase activity, acting on glycosyl bonds (GO:0016798)"
Os04g0671800 ,"Zinc finger, CCCH-type domain containing protein., Similar to H0624F09.12 protein. ","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270), "
Os04g0671900 ,"Transcription factor, Regulator for phosphate homeostasis, Similar to Auxin response factor 12. ","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Biological Process: response to hormone (GO:0009725), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein dimerization activity (GO:0046983), Cellular Component: nucleus (GO:0005634), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: protein dimerization activity (GO:0046983)"
Os04g0672100,Similar to Phytosulfokine receptor precursor (EC 2.7.1.37) (Phytosulfokine LRR receptor kinase).,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os04g0672700,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488)
Os04g0672900 ,Similar to H0322F07.6 protein. ,
Os04g0673000 ,"Similar to H0322F07.7 protein., Homeodomain-like containing protein. ",
Os04g0673700 ,Hypothetical protein. ,
Os04g0674400,Similar to Anamorsin (Cytokine induced apoptosis inhibitor 1) (CUA001). Splice isoform 2.,
Os04g0674700,Similar to AMP-binding protein (Adenosine monophosphate binding protein 5 AMPBP5).,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)"
Os04g0675000 ,"Similar to H0103C06.5 protein., Hypothetical gene., Non-protein coding transcript. ",
Os04g0675101,"ATPase-like, ATP-binding domain domain containing protein.",Molecular Function: ATP binding (GO:0005524)
Os04g0675400,Similar to Chaperone protein dnaJ.,Molecular Function: heat shock protein binding (GO:0031072)
Os04g0675800,Similar to H0103C06.10 protein.,Molecular Function: protein binding (GO:0005515)
Os04g0676100,"Similar to Thioredoxin X, chloroplast precursor.","Biological Process: glycerol ether metabolic process (GO:0006662), Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)"
Os04g0676300,Similar to H0101F08.3 protein.,"Biological Process: 'de novo' pyrimidine base biosynthetic process (GO:0006207), Biological Process: UMP biosynthetic process (GO:0006222), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: membrane (GO:0016020), Molecular Function: catalytic activity (GO:0003824), Molecular Function: dihydroorotate dehydrogenase activity (GO:0004152), Molecular Function: dihydroorotate oxidase activity (GO:0004158)"
Os04g0676400,Similar to H0101F08.4 protein.,
Os04g0676700 ,Similar to H0101F08.8 protein. ,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os04g0676800,Conserved hypothetical protein.,
Os04g0677066,Similar to protein arginine N-methyltransferase 6.,"Cellular Component: cytoplasm (GO:0005737), Molecular Function: methyltransferase activity (GO:0008168)"
Os04g0677400,Protein of unknown function DUF639 family protein.,
Os04g0677500 ,Pyruvate kinase (EC 2.7.1.40). ,"Biological Process: glycolysis (GO:0006096), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: pyruvate kinase activity (GO:0004743), Molecular Function: potassium ion binding (GO:0030955)"
Os04g0677650,Hypothetical gene.,
Os04g0677700,"Katanin P80 ortholog, Katanin regulatory subunit P80b","Biological Process: microtubule severing (GO:0051013), Molecular Function: protein binding (GO:0005515), Molecular Function: microtubule binding (GO:0008017), Cellular Component: katanin complex (GO:0008352)"
Os04g0677800 ,"Similar to H0402C08.12 protein., Translation elongation factor EFTu/EF1A, C-terminal domain containing protein. ","Cellular Component: intracellular (GO:0005622), Molecular Function: zinc ion binding (GO:0008270), Cellular Component: intracellular (GO:0005622), Molecular Function: GTPase activity (GO:0003924), Molecular Function: GTP binding (GO:0005525), Molecular Function: zinc ion binding (GO:0008270)"
Os04g0678000,Hypothetical protein.,
Os04g0678300,WD40 repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os04g0678400,"Zinc finger, Dof-type domain containing protein.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: zinc ion binding (GO:0008270)"
Os04g0678800 ,N-acetylglucosaminyl phosphatidylinositol deacetylase domain containing protein. ,
Os04g0679100,Clathrin light chain family protein.,"Biological Process: intracellular protein transport (GO:0006886), Biological Process: vesicle-mediated transport (GO:0016192), Cellular Component: clathrin coat of trans-Golgi network vesicle (GO:0030130), Cellular Component: clathrin coat of coated pit (GO:0030132), Molecular Function: structural molecule activity (GO:0005198)"
Os04g0679400 ,Similar to H0801D08.15 protein. ,
Os04g0679800 ,"Similar to RNA-binding protein-like protein., Similar to Zinc finger, RING-type. ",
Os04g0679900,Tetraspanin domain containing protein.,Cellular Component: integral to membrane (GO:0016021)
Os04g0680000,Similar to predicted protein.,"Biological Process: DNA repair (GO:0006281), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)"
Os04g0680400,"Allantoinase (EC:3.5.2.5), Ureide metabolism, Nitrogen molecular sensor","Molecular Function: hydrolase activity (GO:0016787), Molecular Function: hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (GO:0016810)"
Os04g0680800,Mlo-related protein family protein.,"Biological Process: cell death (GO:0008219), Cellular Component: integral to membrane (GO:0016021)"
Os04g0682000,Similar to Autophagy 4a.,
Os04g0682100,"C2 calcium/lipid-binding region, CaLB domain containing protein.",Molecular Function: protein binding (GO:0005515)
Os04g0682300 ,"Similar to Phosphomannomutase 2 (EC 5.4.2.8) (PMM 2)., Similar to cDNA clone:001-002-C04, full insert sequence. ","Biological Process: metabolic process (GO:0008152), Biological Process: mannose biosynthetic process (GO:0019307), Cellular Component: cytoplasm (GO:0005737), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phosphomannomutase activity (GO:0004615), Biological Process: mannose biosynthetic process (GO:0019307), Cellular Component: cytoplasm (GO:0005737), Molecular Function: phosphomannomutase activity (GO:0004615)"
Os04g0682800 ,"Potassium efflux antiporter, Chloroplast development, Drought tolerance, Similar to H0124B04.17 protein., Non-protein coding transcript. ","Biological Process: cation transport (GO:0006812), Biological Process: potassium ion transport (GO:0006813), Biological Process: transmembrane transport (GO:0055085), Molecular Function: cation transmembrane transporter activity (GO:0008324), Molecular Function: solute:proton antiporter activity (GO:0015299), Cellular Component: integral component of membrane (GO:0016021), , Biological Process: cation transport (GO:0006812), Biological Process: potassium ion transport (GO:0006813), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: solute:hydrogen antiporter activity (GO:0015299)"
Os04g0683100 ,Similar to Cleavage and polyadenylation specificity factor 5. ,Molecular Function: hydrolase activity (GO:0016787)
Os04g0683600 ,Similar to H0306F12.6 protein. ,"Molecular Function: protein binding (GO:0005515), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os04g0683800,Similar to Phosphoribosyltransferase (Fragment).,Molecular Function: protein binding (GO:0005515)
Os04g0683850,Similar to Glutathione peroxidase.,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: glutathione peroxidase activity (GO:0004602)"
Os04g0683900 ,Protein of unknown function DUF296 domain containing protein. ,
Os04g0684100 ,Hypothetical conserved gene. ,
Os04g0684500 ,"Pentatricopeptide repeat protein, Chloroplast development under cold stress, Hypothetical conserved gene. ","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: binding (GO:0005488)"
Os04g0684800 ,"Similar to CROC-1-like protein (Fragment)., Non-protein coding transcript. ","Molecular Function: acid-amino acid ligase activity (GO:0016881), "
Os04g0685100,Ribosomal biogenesis regulatory protein family protein.,"Biological Process: ribosome biogenesis (GO:0042254), Cellular Component: nucleus (GO:0005634)"
Os04g0685400 ,Harpin-induced 1 domain containing protein. ,
Os04g0685500 ,"Exo70 exocyst complex subunit domain containing protein., Hypothetical conserved gene. ","Biological Process: exocytosis (GO:0006887), Cellular Component: exocyst (GO:0000145)"
Os04g0685600,Similar to H0723C07.3 protein.,"Biological Process: exocytosis (GO:0006887), Cellular Component: exocyst (GO:0000145)"
Os04g0685900 ,"Similar to Receptor-like protein kinase-like protein (Fragment)., Similar to H0723C07.6 protein. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Molecular Function: protein binding (GO:0005515)"
Os04g0686200,Similar to Chromosome condensation regulator protein (Fragment).,"Molecular Function: protein binding (GO:0005515), Molecular Function: metal ion binding (GO:0046872)"
Os04g0686300,Protein of unknown function DUF167 family protein.,
Os04g0686650,Similar to H0723C07.13 protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os04g0687100,Similar to Soluble inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho- hydrolase) (PPase).,
Os04g0687800,"Protein of unknown function DUF6, transmembrane domain containing protein.",Cellular Component: membrane (GO:0016020)
Os04g0687900 ,"Similar to T24D18.17 protein (Tubby-like protein TULP8)., Similar to CAA303719.1 protein. ",Molecular Function: protein binding (GO:0005515)
Os04g0688000,Similar to CAA303718.1 protein.,
Os04g0688100 ,Peroxidase (EC 1.11.1.7). ,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)"
Os04g0688300,"Haem peroxidase, plant/fungal/bacterial family protein.","Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)"
Os04g0688500,Peroxidase (EC 1.11.1.7).,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)"
Os04g0688600,Peroxidase (EC 1.11.1.7).,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)"
Os04g0689400,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os04g0689500 ,Similar to H0814G11.12 protein. ,
Os04g0689700,"RNA recognition motif, RNP-1 domain containing protein.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
Os04g0690500 ,Similar to CAA30371.1 protein (Fragment). ,
Os04g0690900,Similar to H0323C08.15 protein.,
Os04g0691200,Similar to predicted protein.,Molecular Function: protein binding (GO:0005515)
Os04g0691400,Similar to POT family protein.,"Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)"
Os04g0691600 ,Similar to 30S ribosomal protein S17. ,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
Os04g0691800,C2 domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os04g0691900,Chaperonin Cpn60/TCP-1 family protein.,"Biological Process: cellular protein metabolic process (GO:0044267), Biological Process: phosphatidylinositol metabolic process (GO:0046488), Molecular Function: ATP binding (GO:0005524), Molecular Function: phosphatidylinositol phosphate kinase activity (GO:0016307)"
Os04g0692100,Similar to Tubulin folding cofactor B.,
Os04g0692200 ,"Chloroplast nucleoid-associated protein, Chloroplast development, Regulator of plastid-encoded plastid RNA polymerase (PEP) activity, Non-protein coding transcript. ",
Os04g0692300,"Peptidase C14, ICE, catalytic subunit p20, active site domain containing protein.",
Os04g0692400,Similar to ankyrin-like protein.,Molecular Function: methyltransferase activity (GO:0008168)
Os04g0692500 ,Similar to antiporter/ drug transporter/ transporter. ,"Biological Process: drug transmembrane transport (GO:0006855), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: drug transmembrane transporter activity (GO:0015238), Molecular Function: antiporter activity (GO:0015297), "
Os04g0692700,"SNF2 N-terminal domain and helicase C-terminal domain containing protein, ENL1-like","Molecular Function: DNA binding (GO:0003677), Molecular Function: ATP binding (GO:0005524)"
Os04g0692800,Amine oxidase domain containing protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)"
Os04g0693400,Hypothetical protein.,
Os05g0100500,Similar to Debaryomyces hansenii chromosome F of strain CBS767 of Debaryomyces hansenii.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)"
Os05g0100600 ,"Similar to aminophospholipid ATPase., Similar to Potential phospholipid-transporting ATPase 7 (EC 3.6.3.1) (Aminophospholipid flippase 7). ","Biological Process: cation transport (GO:0006812), Biological Process: phospholipid transport (GO:0015914), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: phospholipid-translocating ATPase activity (GO:0004012), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662), Molecular Function: metal ion binding (GO:0046872), Biological Process: phospholipid transport (GO:0015914), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: phospholipid-translocating ATPase activity (GO:0004012), Molecular Function: ATP binding (GO:0005524), Molecular Function: hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances (GO:0016820), Molecular Function: metal ion binding (GO:0046872)"
Os05g0100700 ,"Hypothetical conserved gene., Similar to Somatic embryogenesis receptor kinase-like protein. ",", Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os05g0100750,Hypothetical protein.,
Os05g0100800,"Nucleic acid-binding, OB-fold domain containing protein.",
Os05g0100900,Hypothetical conserved gene.,
Os05g0101400 ,"Similar to 50S ribosomal protein L28, chloroplast precursor., Similar to 50S ribosomal protein L28. ","Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
Os05g0101600,Cytochrome P450 family protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)"
Os05g0102000,SAM dependent carboxyl methyltransferase family protein.,Molecular Function: methyltransferase activity (GO:0008168)
Os05g0102200,"Zinc finger, CCHC retroviral-type domain containing protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)"
Os05g0102300,HAT dimerisation domain containing protein.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein dimerization activity (GO:0046983)"
Os05g0102600,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: histone binding (GO:0042393)"
Os05g0102800 ,"Similar to AML1., Similar to AML6. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
Os05g0102900 ,Snf7 family protein. ,Biological Process: protein transport (GO:0015031)
Os05g0103200 ,Cyclophilin-like domain containing protein. ,"Biological Process: protein folding (GO:0006457), Molecular Function: peptidyl-prolyl cis-trans isomerase activity (GO:0003755)"
Os05g0103300 ,Similar to AT.I.24-5 protein (Fragment). ,
Os05g0103400,Protein of unknown function DUF3339 domain containing protein.,
Os05g0103600,Similar to Ankyrin-like protein.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
Os05g0104200,"Polygalacturonase inhibiting protein, Inhibitor of fungal polygalacturonase, Sheath blight resistance",Molecular Function: protein binding (GO:0005515)
Os05g0104650,Similar to Formylglycinamide ribonucleotide amidotransferase (Fragment).,"Biological Process: 'de novo' IMP biosynthetic process (GO:0006189), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phosphoribosylformylglycinamidine synthase activity (GO:0004642)"
Os05g0104800,"Eukaryotic translation initiation factor 3 subunit f, Microgametogenesis","Molecular Function: translation initiation factor activity (GO:0003743), Molecular Function: protein binding (GO:0005515), Cellular Component: cytoplasm (GO:0005737), Cellular Component: eukaryotic translation initiation factor 3 complex (GO:0005852)"
Os05g0104900,Similar to STIP1 homology and U box-containing protein 1.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
Os05g0105000,Similar to Methionine S-methyltransferase (EC 2.1.1.12) (AdoMet:Met S- methyltransferase) (Hv-MMT1).,"Biological Process: biosynthetic process (GO:0009058), Molecular Function: catalytic activity (GO:0003824), Molecular Function: transferase activity, transferring nitrogenous groups (GO:0016769), Molecular Function: pyridoxal phosphate binding (GO:0030170)"
Os05g0105050,Hypothetical conserved gene.,
Os05g0105200,Similar to Ras-related protein Rab-1B.,"Biological Process: small GTPase mediated signal transduction (GO:0007264), Molecular Function: GTP binding (GO:0005525)"
Os05g0105300,CAP-Gly domain containing protein.,
Os05g0105600,YT521-B-like protein family protein.,
Os05g0105900,"Nucleotide-binding, alpha-beta plait domain containing protein.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
Os05g0106000 ,"Zinc finger, C2H2-type domain containing protein., Hypothetical conserved gene. ","Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)"
Os05g0106100,Similar to Vacuolar ATP synthase 16 kDa proteolipid subunit (EC 3.6.3.14) (V- ATPase 16 kDa proteolipid subunit) (Fragment).,"Biological Process: ATP hydrolysis coupled proton transport (GO:0015991), Cellular Component: proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177), Cellular Component: proton-transporting V-type ATPase, V0 domain (GO:0033179), Molecular Function: hydrogen ion transmembrane transporter activity (GO:0015078)"
Os05g0106700,Similar to PRAF1; Ran GTPase binding / chromatin binding / zinc ion binding.,Molecular Function: metal ion binding (GO:0046872)
Os05g0106900,"F-box domain, Skp2-like domain containing protein.",
Os05g0107600 ,"ABC transporter-like domain containing protein., Hypothetical conserved gene. ","Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111), Molecular Function: ATPase activity, coupled to transmembrane movement of substances (GO:0042626), Biological Process: transport (GO:0006810), Cellular Component: membrane (GO:0016020), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)"
Os05g0107900,Similar to Protein DEHYDRATION-INDUCED 19 homolog 6.,
Os05g0108000,tRNA pseudouridine synthase B family protein.,"Biological Process: pseudouridine synthesis (GO:0001522), Biological Process: RNA processing (GO:0006396), Biological Process: RNA modification (GO:0009451), Molecular Function: RNA binding (GO:0003723), Molecular Function: pseudouridine synthase activity (GO:0009982)"
Os05g0108100,Protein of unknown function DUF707 family protein.,
Os05g0108800,Cytochrome b5.,Molecular Function: heme binding (GO:0020037)
Os05g0109600,RNA binding protein PufA.,"Molecular Function: RNA binding (GO:0003723), Molecular Function: binding (GO:0005488)"
Os05g0109825,Hypothetical protein.,
Os05g0110100 ,"Heat shock protein DnaJ, cysteine-rich domain domain containing protein. ","Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)"
Os05g0110300 ,Similar to NAD-dependent epimerase/dehydratase. ,"Biological Process: steroid biosynthetic process (GO:0006694), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: 3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)"
Os05g0110500 ,"Similar to DEAD-box ATP-dependent RNA helicase 17., DEAD-box RNA helicase protein, Stress responses ","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: ATP binding (GO:0005524)"
Os05g0110700,Chromosome segregation protein Spc25 domain containing protein.,
Os05g0110800 ,"Conserved hypothetical protein., Similar to predicted protein. ",
Os05g0111000,Similar to Gag polyprotein [Contains: Core protein p15 (Matrix protein); Core protein p24; Core protein p12].,"Biological Process: DNA replication (GO:0006260), Cellular Component: nucleus (GO:0005634), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: zinc ion binding (GO:0008270)"
Os05g0111200,Similar to Amino acid selective channel protein.,
Os05g0111300 ,"Similar to B22EL8 protein., Similar to Metallothionein. ",Molecular Function: metal ion binding (GO:0046872)
Os05g0112000 ,"E3 ubiquitin ligase, XA21-mediated disease resistance, Similar to Receptor-like kinase Xa21-binding protein 3. ","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os05g0112200,Similar to Zn finger protein (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: zinc ion binding (GO:0008270)"
