Locus_ID,Description,GO,,
Os04g0295000,Protein phosphatase inhibitor family protein.,,,
Os04g0295500,Conserved hypothetical protein.,,,
Os04g0296700 ,"Similar to cDNA clone:006-306-G03, full insert sequence., Hypothetical conserved gene. ",,,
Os04g0297800,Similar to OSIGBa0105O19.3 protein.,,,
Os04g0301500,Helix-loop-helix DNA-binding domain containing protein.,,,
Os04g0301700,"Glycosyl transferase, family 14 protein.","Cellular Component: membrane (GO:0016020), Molecular Function: acetylglucosaminyltransferase activity (GO:0008375)",,
Os04g0302300,Hypothetical protein.,,,
Os04g0302400,Conserved hypothetical protein.,,,
Os04g0303250,Hypothetical gene.,,,
Os04g0304200,Similar to Nonphototropic hypocotyl protein 1 (EC 2.7.1.37) (Phototropin).,"Biological Process: two-component signal transduction system (phosphorelay) (GO:0000160), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: protein phosphorylation (GO:0006468), Biological Process: signal transduction (GO:0007165), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os04g0304400,"MADS-box transcription factor, Homologue of the AGL17-clade MADS-box genes, Regulation of root system development via auxin signalling","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Biological Process: positive regulation of transcription by RNA polymerase II (GO:0045944), Molecular Function: RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-binding transcription factor activity (GO:0003700), Molecular Function: protein dimerization activity (GO:0046983), Cellular Component: nucleus (GO:0005634)",,
Os04g0306400,Ribose 5-phosphate isomerase family protein.,"Biological Process: pentose-phosphate shunt, non-oxidative branch (GO:0009052), Molecular Function: ribose-5-phosphate isomerase activity (GO:0004751)",,
Os04g0306800 ,"RNA recognition motif, RNP-1 domain containing protein., Similar to OSIGBa0096F13.9 protein. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)",,
Os04g0308000 ,"Conserved hypothetical protein., Non-protein coding transcript. ",,,
Os04g0309400 ,"Conserved hypothetical protein., Non-protein coding transcript. ",,,
Os04g0309900,Similar to H0211A12.5 protein.,,,
Os04g0310500 ,"NADH dehydrogenase ubiquinone (complex I), alpha subcomplex, subunit 2 domain containing protein. ",,,
Os04g0311400 ,"Similar to Cysteine proteinase 1 precursor (EC 3.4.22.-)., Similar to OSIGBa0130O15.4 protein. ","Biological Process: proteolysis (GO:0006508), Molecular Function: cysteine-type endopeptidase activity (GO:0004197), Molecular Function: cysteine-type peptidase activity (GO:0008234), Biological Process: proteolysis (GO:0006508), Molecular Function: cysteine-type peptidase activity (GO:0008234)",,
Os04g0311500,Non-protein coding transcript.,,,
Os04g0316200,Protein of unknown function DUF26 domain containing protein.,,,
Os04g0320100 ,"Coenzyme F420 hydrogenase/dehydrogenase beta subunit, N-terminal domain containing protein., 7-hydroxymethyl chlorophyll a reductase, Promotion of chlorophyll degradation, Modulation of cell death signaling ","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: catalytic activity (GO:0003824), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os04g0320200,Tetratricopeptide-like helical domain containing protein.,Molecular Function: binding (GO:0005488),,
Os04g0320700 ,"Similar to Glucosyltransferase (Fragment)., UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein. ","Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",,
Os04g0321700 ,Similar to Serine carboxypeptidase I precursor (EC 3.4.16.5) (Carboxypeptidase C). ,"Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type carboxypeptidase activity (GO:0004185)",,
Os04g0321800 ,"Similar to OSIGBa0097I24.2 protein., Protein phosphatase 2C domain containing protein. ",Molecular Function: catalytic activity (GO:0003824),,
Os04g0322100,Protein of unknown function DUF26 domain containing protein.,,,
Os04g0323800,Hypothetical protein.,,,
Os04g0325300,"Similar to NB-ARC domain containing protein, expressed.",,,
Os04g0330200,Mannose-binding lectin domain containing protein.,,,
Os04g0330900 ,"Similar to OSIGBa0113K06.11 protein., Similar to cDNA clone:002-146-G03, full insert sequence., Peptidase aspartic, catalytic domain containing protein. ",", Biological Process: proteolysis (GO:0006508), Molecular Function: aspartic-type endopeptidase activity (GO:0004190)",,
Os04g0337000,"Peptidase aspartic, catalytic domain containing protein.","Biological Process: proteolysis (GO:0006508), Molecular Function: aspartic-type endopeptidase activity (GO:0004190)",,
Os04g0337500 ,"Aldo/keto reductase family protein., Similar to OSIGBa0115A19.1 protein. ",,,
Os04g0338000,Similar to IN2-2 protein.,,,
Os04g0339400,Aldo/keto reductase family protein.,,,
Os04g0339800,Similar to predicted protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os04g0340800 ,Conserved hypothetical protein. ,,,
Os04g0345100,Hypothetical gene.,,,
Os04g0345800,Similar to OSIGBa0127B24.5 protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: acireductone dioxygenase [iron(II)-requiring] activity (GO:0010309)",,
Os04g0346800 ,Similar to OSIGBa0111I14.3 protein. ,,,
Os04g0347200,Similar to OSIGBa0111I14.7 protein.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: cation binding (GO:0043169)",,
Os04g0347600,Tetratricopeptide-like helical domain containing protein.,Molecular Function: binding (GO:0005488),,
Os04g0347900,Similar to OSIGBa0130K07.5 protein.,,,
Os04g0348100 ,Similar to OSIGBa0130K07.7 protein. ,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)",,
Os04g0348400,Similar to OSIGBa0130K07.9 protein.,"Biological Process: protein ubiquitination (GO:0016567), Cellular Component: ubiquitin ligase complex (GO:0000151), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",,
Os04g0349300,Non-protein coding transcript.,,,
Os04g0349401,Hypothetical conserved gene.,,,
Os04g0349500,Similar to 40S ribosomal protein S8.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",,
Os04g0350201,Non-protein coding transcript.,,,
Os04g0350300,Similar to SKIP interacting protein 18 (Fragment).,"Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)",,
Os04g0350700,"Basic helix-loop-helix protein, Regulation of awn development, grain size, and grain number",Molecular Function: protein dimerization activity (GO:0046983),,
Os04g0352400,"Peptidyl-prolyl cis-trans isomerase, FKBP-type domain containing protein.","Biological Process: protein folding (GO:0006457), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",,
Os04g0357300,Similar to Helicase-like protein [Oryza sativa (japonica cultivar-group)].,,,
Os04g0358000,Similar to OSIGBa0104J13.1 protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)",,
Os04g0359100,"Alcohol dehydrogenase superfamily, zinc-containing protein.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)",,
Os04g0359700,Hypothetical conserved gene.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)",,
Os04g0363700,"Nucleic acid-binding, OB-fold domain containing protein.","Biological Process: DNA replication (GO:0006260), Molecular Function: single-stranded DNA binding (GO:0003697)",,
Os04g0368000,Serine/threonine protein kinase-related domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os04g0368800,Similar to H0607F01.6 protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os04g0369600,Similar to OSIGBa0107E14.3 protein.,"Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515)",,
Os04g0370600,"Leucine-rich repeat, cysteine-containing subtype domain containing protein.",,,
Os04g0370900 ,"Similar to H0607F01.5 protein., Similar to cDNA, clone: J013067H13, full insert sequence. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os04g0371000,Four-helical cytokine family protein.,,,
Os04g0372201,Conserved hypothetical protein.,,,
Os04g0372400,Conserved hypothetical protein.,,,
Os04g0372700,Similar to Quinone-oxidoreductase QR1 (Fragment).,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os04g0372750,Non-protein coding transcript.,,,
Os04g0372775,Non-protein coding transcript.,,,
Os04g0372800,"Nucleotide-binding, alpha-beta plait domain containing protein.","Biological Process: transport (GO:0006810), Cellular Component: intracellular (GO:0005622), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)",,
Os04g0375900,"Kinesin, motor region domain containing protein.","Biological Process: DNA repair (GO:0006281), Biological Process: microtubule-based movement (GO:0007018), Molecular Function: DNA binding (GO:0003677), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)",,
Os04g0376000,Similar to 60S ribosomal protein L35-1.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",,
Os04g0376600,Similar to ER lumen protein retaining receptor.,,,
Os04g0376700,Similar to ER lumen protein retaining receptor (HDEL receptor) (PGP169-12).,"Biological Process: protein retention in ER lumen (GO:0006621), Cellular Component: integral to membrane (GO:0016021), Molecular Function: ER retention sequence binding (GO:0046923)",,
Os04g0377600,Similar to OSIGBa0135C09.4 protein.,,,
Os04g0377932,Similar to Gonidia forming protein GlsA.,"Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)",,
Os04g0378400,Non-protein coding transcript.,,,
Os04g0378575,Similar to NBS-LRR protein (Fragment).,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os04g0379300 ,"Methyltransferase type 11 domain containing protein., Similar to predicted protein. ","Biological Process: metabolic process (GO:0008152), Molecular Function: methyltransferase activity (GO:0008168), ",,
Os04g0379500 ,"Conserved hypothetical protein., Non-protein coding transcript. ",,,
Os04g0379600,"Defence response, Rin4 domain containing protein.",,,
Os04g0379700,Similar to Violaxanthin de-epoxidase.,"Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: chloroplast (GO:0009507), Molecular Function: binding (GO:0005488), Molecular Function: violaxanthin de-epoxidase activity (GO:0046422)",,
Os04g0379800,Conserved hypothetical protein.,,,
Os04g0379933,Hypothetical conserved gene.,,,
Os04g0380000 ,"Similar to OSIGBa0092E09.6 protein., Conserved hypothetical protein. ",,,
Os04g0380200 ,"Conserved hypothetical protein., Hypothetical conserved gene. ",,,
Os04g0380300 ,"Kelch-type beta propeller domain containing protein., Non-protein coding transcript. ","Molecular Function: protein binding (GO:0005515), ",,
Os04g0381000,Similar to DRP3A (DYNAMIN-RELATED PROTEIN 3A), GTP binding / GTPase/ phosphoinositide binding.,"Molecular Function: GTPase activity (GO:0003924), Molecular Function: GTP binding (GO:0005525)",
Os04g0381100 ,"Similar to OSIGBa0092E09.1 protein., Bile acid:sodium symporter family protein. ","Biological Process: sodium ion transport (GO:0006814), Cellular Component: membrane (GO:0016020), Molecular Function: bile acid:sodium symporter activity (GO:0008508)",,
Os04g0381700,Similar to OSIGBa0092E09.4 protein.,,,
Os04g0382100,SWIB/MDM2 domain containing protein.,Molecular Function: protein binding (GO:0005515),,
Os04g0382300 ,"Similar to SNF1-related protein kinase regulatory gamma subunit 1 (AKIN gamma1) (AKING1)., Similar to OSIGBa0092E09.6 protein. ","Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein binding (GO:0005515)",,
Os04g0382800,Conserved hypothetical protein.,,,
Os04g0384200,Conserved hypothetical protein.,,,
Os04g0385600,Tetratricopeptide-like helical domain containing protein.,"Molecular Function: binding (GO:0005488), Molecular Function: zinc ion binding (GO:0008270)",,
Os04g0385900,Similar to OSIGBa0148P16.1 protein.,,,
Os04g0386500,Similar to OSIGBa0148P16.4 protein.,,,
Os04g0386600 ,"Pyruvate/Phosphoenolpyruvate kinase, catalytic core domain containing protein. ","Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)",,
Os04g0387300,Similar to OSIGBa0075F02.1 protein.,"Molecular Function: DNA binding (GO:0003677), Molecular Function: protein dimerization activity (GO:0046983)",,
Os04g0387600,Similar to OSIGBa0075F02.3 protein.,,,
Os04g0388500,Ankyrin domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: protein binding (GO:0005515), Molecular Function: calmodulin binding (GO:0005516)",,
Os04g0388601,Conserved hypothetical protein.,,,
Os04g0388700 ,Similar to OSIGBa0096P03.3 protein. ,,,
Os04g0389100,OSIGBa0096P03.6 protein.,"Biological Process: branched chain family amino acid biosynthetic process (GO:0009082), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: acetolactate synthase activity (GO:0003984), Molecular Function: thiamine pyrophosphate binding (GO:0030976), Molecular Function: flavin adenine dinucleotide binding (GO:0050660)",,
Os04g0389500,Conserved hypothetical protein.,,,
Os04g0389600,Conserved hypothetical protein.,,,
Os04g0389901,Hypothetical gene.,,,
Os04g0390100,Heavy metal transport/detoxification protein domain containing protein.,"Biological Process: metal ion transport (GO:0030001), Molecular Function: metal ion binding (GO:0046872)",,
Os04g0390500 ,"Similar to OSIGBa0132D06.2 protein., Mn-nicotianamine transporter, Detoxification of excess manganese, Iron-phytosiderophore transporter protein yellow stripe 1. ",Biological Process: transmembrane transport (GO:0055085),,
Os04g0391000,Similar to OSIGBa0132D06.6 protein.,,,
Os04g0393900,Similar to H0718E12.2 protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os04g0394700,BAR domain containing protein.,"Cellular Component: cytoplasm (GO:0005737), Molecular Function: protein binding (GO:0005515)",,
Os04g0395100,Protein of unknown function DUF26 domain containing protein.,,,
Os04g0395800,Tify domain containing protein.,Molecular Function: protein binding (GO:0005515),,
Os04g0395900,Polynucleotide adenylyltransferase region domain containing protein.,"Biological Process: RNA processing (GO:0006396), Molecular Function: RNA binding (GO:0003723), Molecular Function: nucleotidyltransferase activity (GO:0016779)",,
Os04g0397000,Defender against cell death 1 (DAD-1) (Defender against apoptotic death 1 protein).,Cellular Component: integral to membrane (GO:0016021),,
Os04g0397100 ,"Similar to ClpC protease., Non-protein coding transcript. ","Biological Process: nucleotide-excision repair (GO:0006289), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: DNA binding (GO:0003677), Molecular Function: nuclease activity (GO:0004518), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111), ",,
Os04g0397400,Conserved hypothetical protein.,,,
Os04g0397500,Similar to gt-2-related.,,,
Os04g0398000 ,"ERF transcription factor, A member of APETALA2/Ethylene-Responsive Element Binding Protein(AP2/EREBP) family, Regulation of drought stress response, Innate immunity, Pathogenesis-related transcriptional factor and ERF domain containing protein. ","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-binding transcription factor activity (GO:0003700), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)",,
Os04g0398600 ,"Similar to Pectin-glucuronyltransferase., Similar to H0209H04.3 protein. ",Cellular Component: membrane (GO:0016020),,
Os04g0399000,Similar to Ribosomal protein S27.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",,
Os04g0399200,Non-protein coding transcript.,,,
Os04g0399300,"Similar to Nudix hydrolase 13, mitochondrial precursor (EC 3.6.1.-) (AtNUDT13).",Molecular Function: hydrolase activity (GO:0016787),,
Os04g0399600,Conserved hypothetical protein.,,,
Os04g0400700,Similar to OSIGBa0113L04.5 protein.,,,
Os04g0400800,Heavy metal transport/detoxification protein domain containing protein.,,,
Os04g0401700 ,"Potassium transporter, Potassium mediated growth, Salt tolerance, Similar to Isoform 2 of Potassium transporter 1., Potassium transporter 1 (OsHAK1). Splice isoform 2. ","Biological Process: potassium ion transmembrane transport (GO:0071805), Molecular Function: potassium ion transmembrane transporter activity (GO:0015079), Cellular Component: membrane (GO:0016020), Biological Process: potassium ion transmembrane transport (GO:0071805), Cellular Component: membrane (GO:0016020), Molecular Function: potassium ion transmembrane transporter activity (GO:0015079)",,
Os04g0402100 ,"Similar to Calnexin (Fragment)., Similar to calnexin. ","Biological Process: protein folding (GO:0006457), Cellular Component: endoplasmic reticulum (GO:0005783), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: unfolded protein binding (GO:0051082), Molecular Function: calcium ion binding (GO:0005509)",,
Os04g0402300,Similar to Cysteine-type peptidase.,,,
Os04g0402500,"Zinc finger, RING-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os04g0402700,Hypothetical protein.,,,
Os04g0403200,"Zinc finger, RING-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os04g0403300,Similar to Alpha-amylase.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: alpha-amylase activity (GO:0004556), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: cation binding (GO:0043169)",,
Os04g0403400,Tyrosyl-DNA phosphodiesterase family protein.,"Biological Process: DNA repair (GO:0006281), Cellular Component: nucleus (GO:0005634), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: phosphoric diester hydrolase activity (GO:0008081), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)",,
Os04g0403600,Conserved hypothetical protein.,,,
Os04g0403701,Similar to protein phosphatase 2C containing protein.,Molecular Function: catalytic activity (GO:0003824),,
Os04g0403900,Similar to H0502B11.1 protein.,,,
Os04g0404400,Similar to H0502B11.4 protein.,,,
Os04g0404800,Similar to H0502B11.5 protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: acetate-CoA ligase activity (GO:0003987), Molecular Function: AMP binding (GO:0016208)",,
Os04g0404900,Similar to H0502B11.6 protein.,,,
Os04g0405000,Similar to ATP-dependent Clp protease ATP-binding subunit.,,,
Os04g0405300,Similar to Stem secoisolariciresinol dehydrogenase (Fragment).,"Biological Process: metabolic process (GO:0008152), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os04g0405500,Conserved hypothetical protein.,,,
Os04g0405900,Similar to OSIGBa0142C11.2 protein.,,,
Os04g0406600,Prephenate dehydratase domain containing protein.,"Biological Process: L-phenylalanine biosynthetic process (GO:0009094), Molecular Function: prephenate dehydratase activity (GO:0004664)",,
Os04g0407500,Similar to H0321H01.2 protein.,,,
Os04g0408600,Protein of unknown function DUF662 family protein.,,,
Os04g0408700,Similar to DNA-binding protein S1FA1.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677)",,
Os04g0408900 ,"Similar to DNA-binding protein S1FA., Similar to H0321H01.7 protein. ","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677)",,
Os04g0409200,"Starch branching enzyme IIa, Starch biosynthesis, Regulation of the properties of sugary endosperm","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)",,
Os04g0409500,Serine/threonine-specific protein phosphatase and bis(5-nucleosyl)-tetraphosphatase domain containing protein.,Molecular Function: hydrolase activity (GO:0016787),,
Os04g0410400,Root cap family protein.,,,
Os04g0411800,Similar to H0717B12.5 protein.,,,
Os04g0412000,Hypothetical protein.,,,
Os04g0412100,Similar to H0717B12.8 protein.,,,
Os04g0412350,Hypothetical protein.,,,
Os04g0412800,Thioredoxin fold domain containing protein.,"Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)",,
Os04g0412900,"Zinc finger, Sec23/Sec24-type domain containing protein.","Biological Process: intracellular protein transport (GO:0006886), Biological Process: ER to Golgi vesicle-mediated transport (GO:0006888), Cellular Component: COPII vesicle coat (GO:0030127), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os04g0413000,Similar to OSIGBa0134P10.6 protein.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: ATPase activity, coupled to transmembrane movement of substances (GO:0042626)",,
Os04g0413500,"Cell-wall invertase, Carbon partitioning during early grain filling","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)",,
Os04g0413600,Similar to 40S ribosomal protein S14 (Clone MCH2).,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",,
Os04g0413900,Protein of unknown function DUF584 family protein.,,,
Os04g0414300,Similar to H0622F05.1 protein.,"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)",,
Os04g0414900,Non-protein coding transcript.,,,
Os04g0415000,Similar to H0622F05.5 protein.,,,
Os04g0415200,TB2/DP1 and HVA22 related protein family protein.,,,
Os04g0415401,Conserved hypothetical protein.,,,
Os04g0415800,Similar to OSIGBa0092M08.2 protein.,Biological Process: lipid transport (GO:0006869),,
Os04g0416100,Similar to Transcription factor E2F1 (E2F-1) (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: transcription factor complex (GO:0005667), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)",,
Os04g0416400,Similar to OSIGBa0092M08.6 protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: antioxidant activity (GO:0016209), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os04g0416700,Harpin-induced 1 domain containing protein.,,,
Os04g0417800,WD40 repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515),,
Os04g0418500,Similar to photoperiod responsive protein.,"Biological Process: protein ubiquitination (GO:0016567), Cellular Component: ubiquitin ligase complex (GO:0000151), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: binding (GO:0005488)",,
Os04g0418800 ,"Similar to Hydroxyproline-rich glycoprotein., Hypothetical protein. ",,,
Os04g0419100,Conserved hypothetical protein.,,,
Os04g0419550,"Zinc finger, RING-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os04g0419600,Histone H3.,"Biological Process: nucleosome assembly (GO:0006334), Cellular Component: nucleosome (GO:0000786), Molecular Function: DNA binding (GO:0003677)",,
Os04g0419900,Similar to H0525E10.7 protein.,"Biological Process: protein phosphorylation (GO:0006468), Biological Process: recognition of pollen (GO:0048544), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: sugar binding (GO:0005529), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os04g0420700,Hypothetical protein.,,,
Os04g0422000 ,"PAP fibrillin family protein., Similar to H0525E10.12 protein. ","Cellular Component: chloroplast (GO:0009507), Molecular Function: structural molecule activity (GO:0005198)",,
Os04g0422300,"Protein of unknown function DUF6, transmembrane domain containing protein.",Cellular Component: membrane (GO:0016020),,
Os04g0423400 ,Similar to OSIGBa0076I14.3 protein. ,"Biological Process: response to stress (GO:0006950), ",,
Os04g0423600 ,"SET domain containing protein., Similar to OSIGBa0076I14.5 protein., Similar to OSIGBa0076I14.4 protein. ","Molecular Function: protein binding (GO:0005515), ",,
Os04g0423700,Similar to predicted protein.,,,
Os04g0423800,Peroxidase (EC 1.11.1.7).,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)",,
Os04g0425100 ,"Zinc finger, RING/FYVE/PHD-type domain containing protein., Similar to OSIGBa0076I14.12 protein. ","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os04g0429450,Conserved hypothetical protein.,,,
